Week,Flu AB,FluA % Positive,FluB % Positive,RSV % Positive,MPV % Positive,PIV % Positive,AdV % Positive,ENT % Positive
1,17.74193548,14.52,3.23,5.91,0.54,0,0.54,2.15
2,9.6,7.6,2,5.6,0.8,0.4,0.8,1.6
3,9.6069869,8.73,0.87,1.75,0.87,0.44,0.44,3.93
4,11.53846154,10.38,1.15,5.77,0.77,0,0.38,1.15
5,6.164383562,4.45,1.71,4.45,0.68,0,0.34,2.4
6,10.42471042,7.72,2.7,2.32,1.16,0.39,0.77,1.54
7,5.769230769,3.85,1.92,1.92,0.96,0,0.96,1.44
8,8.823529412,4.71,4.12,2.35,2.35,0,0,2.35
9,3.20855615,2.67,0.53,0.53,0.53,0,0.53,0
10,5.825242718,2.43,3.4,1.46,1.94,0.97,0.97,4.37
11,5.10805501,2.55,2.55,0.59,2.36,0.39,0.39,6.09
12,0,0,0,0,0.46,0.23,0,0.23
13,0.114810563,0,0.11,0,0.11,0.11,0,0.23
14,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0
